id,phone
2092,56997253240
2643,56983955754
5253,56989713008
2259,56986602710
3342,56993969125
3104,56972247532
2292,56996472441
5774,56991756261
5224,56977589873
2937,56984175559
2239,56970118884
5825,56976728809
2737,56997073593
5645,56977779212
3274,56988509555
3599,56991297165
5305,56987664347
2327,56986342118
3070,56982403915
5710,56998420611
3764,56980675268
5800,56970893699
3762,56992768114
5328,56979827883
3584,56986784074
2856,56994823027
5600,56995488216
3524,56992020350
2304,56988007607
3185,56981935542
5126,56995020460
3654,56984699302
3556,56994437378
2470,56973108890
2759,56985156751
5637,56970332539
5551,56990480737
2695,56980762443
3773,56998445046
3570,56987275448
3671,56994817881
2712,56999610780
2650,56976878834
2675,56980863472
5505,56985916797
5079,56989842011
2942,56981451049
2110,56992750295
3646,56974096008
2918,56977262868
3084,56994965028
2940,56985385202
3858,56995606660
2869,56999318385
5867,56971705561
3912,56988838847
2278,56976242355
2240,56987904377
5235,56976478451
3557,56998879136
5958,56972575421
2156,56976756055
2432,56980991102
3348,56983103676
2580,56971707984
2647,56983135518
3143,56988005557
3467,56972994084
2786,56983655771
5624,56985730534
3262,56970228106
5767,56970146707
3224,56973103478
5926,56991651230
2700,56982568623
3205,56970506603
3961,56986737895
3972,56997897224
5283,56980902849
3109,56994475633
2357,56989497988
5575,56983012033
2893,56981577471
3230,56985260990
3814,56992805976
5801,56989276534
2509,56976919034
2224,56986190538
3802,56970493415
3664,56999755779
5252,56975977613
2649,56992628727
2265,56982583800
5731,56994107687
5187,56974874764
3623,56988225746
5807,56970554127
2444,56971284743
3052,56988713966
5457,56982192777
2689,56991014761
2483,56995893607
3670,56983513705
5844,56997315858
5088,56986632364
5900,56988911514
3482,56986473295
5810,56979464706
2028,56995249151
3233,56993129402
2827,56989755840
5022,56989092945
2413,56991211692
5681,56982128963
5555,56998385323
3887,56993735712
5073,56995694926
2158,56975080418
2614,56971966145
3632,56987936111
2308,56990336409
2101,56976258804
5705,56974943705
2293,56975889603
5601,56986575480
5243,56970901944
2719,56998510336
2448,56981005632
5805,56988331443
3085,56988636074
5662,56987339138
2545,56983682346
5797,56975844773
2755,56977078906
5668,56983290638
3286,56994680874
3064,56983946973
3796,56983586911
2057,56977492112
3734,56998454052
2851,56979004657
2487,56992761089
5799,56987149739
2392,56990751975
2841,56985363239
5760,56975021580
2521,56997132009
5781,56984850616
5266,56998738779
2388,56975693474
3047,56998504509
5320,56989744040
5641,56994655504
2399,56982896134
2935,56999585628
5465,56980382042
5222,56974715497
3430,56974047859
5654,56995515735
3805,56992744663
2664,56990713444
5198,56977612126
3189,56985160470
3562,56978246039
2436,56972858480
5712,56995558354
5180,56984089471
2550,56974727103
2015,56983880714
2391,56991968907
3516,56979934500
3073,56975886452
5913,56973469891
3299,56996111261
2961,56990112723
2008,56980309892
3551,56987646558
2016,56974643305
5309,56971224864
3560,56985715136
3187,56980794970
5489,56981567403
2492,56996979964
2421,56992036782
3546,56983604551
5572,56970098583
2382,56987460140
5294,56982700902
3301,56970200897
3618,56998102429
3694,56995670356
3309,56993332849
3380,56989513068
3289,56977499109
5208,56976061689
2941,56978155973
2100,56992811349
3617,56989598248
5168,56996415657
5617,56988172024
5485,56980011934
5256,56982157313
3216,56971778822
2441,56991989939
3142,56994519480
5667,56987846824
5819,56998919516
3494,56981441237
5383,56982346173
3650,56980667496
3568,56993334565
2641,56970696206
5263,56991365536
3512,56987831231
5518,56978948743
5248,56985864365
3980,56996898340
3396,56981814014
3435,56976845975
2460,56971651641
2733,56981986234
3678,56974508237
3300,56994485292
5117,56996483681
2478,56982916780
5878,56986667703
2339,56983233461
3893,56979071240
3444,56974419339
2498,56977076426
3808,56974955835
2952,56985980079
5391,56998627040
3536,56988498561
3529,56978830314
3819,56995622891
3565,56975818744
5351,56980711925
2691,56991543238
2053,56994460124
3030,56983208072
2425,56995029008
2806,56984649981
2163,56974472095
5295,56973576435
3558,56971421403
3440,56982253343
2946,56977667914
2901,56980176662
2038,56993591108
3042,56986536444
3471,56986551189
3945,56974142981
5461,56999110519
5469,56996243125
2891,56971021986
2090,56988781997
5346,56981776700
3870,56970284069
5426,56975969818
2330,56992038447
5604,56980010489
5539,56981175071
2007,56974981428
5692,56976451630
3626,56973566319
5363,56971004068
5157,56977373419
2951,56984380509
2279,56997444387
5684,56990245867
2405,56983183773
5277,56979900338
5525,56993381365
5744,56983964929
5733,56970065634
2688,56972424968
2595,56989031858
3268,56974161730
5487,56978991401
2514,56973507227
2063,56981117700
2321,56996698906
2634,56994650578
3439,56981991658
5843,56984602132
3789,56982187115
5623,56978540364
2280,56977567075
5806,56974422089
2018,56984138075
5393,56972898335
3311,56972971575
3649,56994104906
5401,56981153854
3533,56973510544
3950,56988649173
3209,56988671175
5534,56983128251
5704,56977108405
2377,56978292145
2337,56990923176
5507,56992179842
2106,56978491756
3290,56984317777
3007,56996155097
2469,56984392408
2287,56980124365
3669,56979663224
3257,56981392165
5838,56976853616
2714,56980583128
2710,56991931594
3728,56983577350
3995,56997318857
2898,56978810681
5707,56973467715
5186,56993759864
5885,56989060967
5598,56984274778
2331,56977868540
5853,56977481428
3171,56978019070
5605,56997271114
3813,56982343608
3399,56983414813
5128,56987364976
5403,56978338234
2270,56980776044
5647,56988703279
5765,56989847106
5661,56994256133
3130,56994200683
3591,56974716787
3128,56997389279
2800,56992056523
2490,56981252055
3658,56981946820
3098,56994565738
2218,56978155075
3549,56995057546
3087,56992991253
3771,56986085816
5321,56977884140
3726,56983079981
5772,56998806138
5552,56984589825
2597,56996222944
3004,56977647109
5777,56988934680
3129,56981863806
3050,56999130900
5960,56987976962
2690,56996858138
3374,56979941497
3994,56975036395
5928,56976693443
5751,56987438470
2750,56978381899
3323,56976787036
3915,56991176470
5817,56979266978
3526,56990122519
3513,56992152882
3192,56981370552
2369,56981210148
5788,56997195898
2611,56980946677
3753,56974143658
3744,56985322681
5038,56987458896
5091,56999712754
3918,56997169231
2716,56995763731
5595,56983811070
5164,56983166470
3417,56970909066
3078,56987477363
5444,56999452350
3902,56990570504
2519,56975196477
2619,56999204696
3838,56978180010
2169,56972244218
2636,56970041454
5753,56994854663
2197,56995223484
2395,56982331437
3856,56991721115
3251,56970515903
5745,56973993596
2347,56986105324
2212,56985493824
5784,56983014306
3528,56978355329
2988,56987934940
